id1,id2,weight
A391,Chapter I,1
A391,ICD10,1
A391,A39,1
A392,Block A30-A49,1
A392,Chapter I,1
A392,ICD10,1
A392,A39,1
A393,Block A30-A49,1
A393,Chapter I,1
A393,ICD10,1
A393,A39,1
A394,Block A30-A49,1
A394,Chapter I,1
A394,ICD10,1
A394,A39,1
A395,Block A30-A49,1
A395,Chapter I,1
A395,ICD10,1
A395,A39,1
A398,Block A30-A49,1
A398,Chapter I,1
A398,ICD10,1
A398,A39,1
A399,Block A30-A49,1
A399,Chapter I,1
A399,ICD10,1
A399,A39,1
A400,Block A30-A49,1
A400,Chapter I,1
A400,A40,1
A400,ICD10,1
A40,Block A30-A49,1
A40,Chapter I,1
A40,ICD10,1
A401,Block A30-A49,1
A401,Chapter I,1
A401,A40,1
A401,ICD10,1
A402,Block A30-A49,1
A402,Chapter I,1
A402,A40,1
A402,ICD10,1
A403,Block A30-A49,1
A403,Chapter I,1
A403,A40,1
A403,ICD10,1
A408,Block A30-A49,1
A408,Chapter I,1
A408,A40,1
A408,ICD10,1
A409,Block A30-A49,1
A409,Chapter I,1
A409,A40,1
A409,ICD10,1
A410,Block A30-A49,1
A410,A41,1
A410,Chapter I,1
A410,ICD10,1
A41,Block A30-A49,1
A41,Chapter I,1
A41,ICD10,1
A411,Block A30-A49,1
A411,A41,1
A411,Chapter I,1
A411,ICD10,1
A412,Block A30-A49,1
A412,A41,1
A412,Chapter I,1
A412,ICD10,1
A413,Block A30-A49,1
A413,A41,1
A413,Chapter I,1
A413,ICD10,1
A414,Block A30-A49,1
A414,A41,1
A414,Chapter I,1
A414,ICD10,1
A415,Block A30-A49,1
A415,A41,1
A415,Chapter I,1
A415,ICD10,1
A418,Block A30-A49,1
A418,A41,1
A418,Chapter I,1
A418,ICD10,1
A419,Block A30-A49,1
A419,A41,1
A419,Chapter I,1
A419,ICD10,1
A420,Block A30-A49,1
A420,Chapter I,1
A420,ICD10,1
A420,A42,1
A42,Block A30-A49,1
A42,Chapter I,1
A42,ICD10,1
A421,Block A30-A49,1
A421,Chapter I,1
A421,ICD10,1
A421,A42,1
A422,Block A30-A49,1
A422,Chapter I,1
A422,ICD10,1
A422,A42,1
A427,Block A30-A49,1
A427,Chapter I,1
A427,ICD10,1
A427,A42,1
A428,Block A30-A49,1
A428,Chapter I,1
A428,ICD10,1
A428,A42,1
A429,Block A30-A49,1
A429,Chapter I,1
A429,ICD10,1
A429,A42,1
A430,Block A30-A49,1
A430,Chapter I,1
A430,ICD10,1
A430,A43,1
A43,Block A30-A49,1
A43,Chapter I,1
A43,ICD10,1
A431,Block A30-A49,1
A431,Chapter I,1
A431,ICD10,1
A431,A43,1
